,county,office,rep_votes,dem_votes,dem_pct,rep_pct,vote_margin,county_fips,year
53,Columbia,State House,12933.0,3722.0,22.34764335034524,77.65235664965476,-55.304713299309526,42037,2002
54,Columbia,U.S. House,7791.0,8249.0,51.427680798004985,48.572319201995015,2.8553615960099705,42037,2002
55,Crawford,Governor,15551.0,9155.0,37.05577592487655,62.94422407512346,-25.88844815024691,42039,2002
56,Crawford,State House,16541.0,6859.0,29.311965811965813,70.6880341880342,-41.37606837606838,42039,2002
57,Crawford,State Senate,17597.0,6456.0,26.840726728474618,73.15927327152538,-46.31854654305076,42039,2002
58,Cumberland,Governor,40966.0,24237.0,37.17160253362575,62.82839746637424,-25.65679493274849,42041,2002
59,Cumberland,State House,47307.0,18917.0,28.565172747040346,71.43482725295965,-42.8696545059193,42041,2002
60,Cumberland,U.S. House,52170.0,3299.0,5.947466152265229,94.05253384773478,-88.10506769546954,42041,2002
61,Dauphin,Governor,44231.0,33537.0,43.12442135582759,56.87557864417241,-13.751157288344814,42043,2002
62,Dauphin,State House,33894.0,16462.0,32.69123838271507,67.30876161728493,-34.61752323456986,42043,2002
63,Dauphin,State Senate,1740.0,510.0,22.666666666666664,77.33333333333333,-54.666666666666664,42043,2002
64,Dauphin,U.S. House,44998.0,34658.0,43.50959124234207,56.49040875765793,-12.980817515315863,42043,2002
65,Delaware,Governor,62649.0,123117.0,66.27531410484157,33.72468589515842,32.55062820968315,42045,2002
66,Delaware,State House,107708.0,70159.0,39.444641220687366,60.55535877931263,-21.11071755862526,42045,2002
67,Delaware,State Senate,57460.0,41675.0,42.03863418570636,57.96136581429364,-15.922731628587286,42045,2002
68,Delaware,U.S. House,111308.0,66833.0,37.516910761700004,62.483089238299996,-24.966178476599993,42045,2002
69,Elk,Governor,5468.0,3917.0,41.73681406499733,58.26318593500266,-16.526371870005327,42047,2002
70,Erie,Governor,43095.0,32774.0,43.19814416955542,56.80185583044458,-13.60371166088916,42049,2002
71,Erie,State House,33393.0,34940.0,51.131956741252395,48.8680432587476,2.2639134825047975,42049,2002
72,Fayette,Governor,13878.0,19082.0,57.894417475728154,42.105582524271846,15.788834951456309,42051,2002
73,Fayette,State House,4699.0,21247.0,81.88930856394049,18.110691436059508,63.77861712788098,42051,2002
74,Fayette,U.S. House,9009.0,20618.0,69.59192628345767,30.408073716542344,39.18385256691532,42051,2002
75,Forest,Governor,1170.0,613.0,34.38025799214807,65.61974200785194,-31.239484015703873,42053,2002
76,Forest,State House,1172.0,609.0,34.19427288040427,65.80572711959573,-31.61145423919146,42053,2002
77,Franklin,Governor,23689.0,10335.0,30.375617211380202,69.6243827886198,-39.248765577239595,42055,2002
78,Franklin,State House,24583.0,7357.0,23.033813400125236,76.96618659987476,-53.93237319974952,42055,2002
79,Franklin,U.S. House,24493.0,9756.0,28.485503226371574,71.51449677362842,-43.028993547256846,42055,2002
80,Fulton,Governor,2681.0,1138.0,29.798376538360827,70.20162346163917,-40.403246923278346,42057,2002
81,Fulton,State House,3137.0,758.0,19.46084724005135,80.53915275994865,-61.0783055198973,42057,2002
82,Fulton,State Senate,2920.0,913.0,23.81946256196191,76.18053743803809,-52.361074876076174,42057,2002
83,Fulton,U.S. House,2861.0,985.0,25.611024440977637,74.38897555902237,-48.77795111804473,42057,2002
84,Greene,Governor,4209.0,5013.0,54.359141184124915,45.64085881587508,8.718282368249838,42059,2002
85,Greene,U.S. House,2806.0,6310.0,69.2189556823168,30.781044317683193,38.43791136463361,42059,2002
86,Huntingdon,Governor,7842.0,3697.0,32.03917150532975,67.96082849467024,-35.92165698934049,42061,2002
87,Huntingdon,State House,650.0,113.0,14.809960681520314,85.19003931847968,-70.38007863695937,42061,2002
88,Huntingdon,State Senate,8560.0,3282.0,27.714913021449078,72.28508697855092,-44.570173957101844,42061,2002
89,Huntingdon,U.S. House,8556.0,3298.0,27.821832292896914,72.17816770710309,-44.35633541420617,42061,2002
